,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000
Horner,9500,1200,1700,1800,2300,2700,3100,3700,3900,4400,4800,5300,5900,6100,6800,7000,7600,7900,8400,9200,9600,9600,10500,11000,11400,11800,12100,12500,13100,13500,15900,17700,15000,23800,24500,20500,49900,18600,157300,28100,24800,19000,19700,19700,19900,20600,25100,21700,29900,27100,23400,29200,23600,30300,35500,33800,30600,26100,26100,27000,41800,36400,28900,39400,29200,29500,41000,48200,31200,42000,32400,44400,44500,33500,45100,55300,39600,47300,34800,54400,35800,99300,45500,56700,38500,38400,44800,60700,39200,50400,57600,57200,59000,42200,61600,55900,59100,61200,45000,61700
Tradicional,1300,1500,2900,2500,3600,3400,6200,6300,7500,8600,9100,8400,8700,10800,10700,19700,11300,11000,15000,15500,16200,17900,15000,16800,17000,19100,14200,18700,19800,23800,16200,24800,21700,23400,18200,26000,25900,19700,27600,27400,21300,21300,22900,34400,33700,33400,33900,33900,36300,32100,34300,29000,42400,27500,28000,38900,28900,31600,38900,70100,31000,40800,36700,32600,33200,44100,47400,46200,53900,36000,36300,48200,47300,50900,46700,41700,50800,57800,40300,77500,55100,63800,61700,64300,55000,68300,47300,132100,65200,106200,58600,68300,72500,73600,48100,56700,49000,49400,77000,50600
